id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
42925 Batch 6.01 OmegaBatch-2 91 0.30 0.50 70.19 0.0000 0.0000 70.19 0.2581 1000 0 0 0
42926 Batch 151.58 OmegaBatch-3 28 0.30 0.50 97.68 0.0000 0.0000 97.68 0.2581 1000 0 0 0
42927 Batch 156.08 OmegaBatch-4 201 0.30 0.50 310.97 0.0000 11.0000 364.17 0.2581 1000 0 0 0
42928 Batch 174.29 OmegaBatch-1 87 0.30 0.50 105.41 0.0000 0.0000 105.41 0.2602 1000 0 0 0
42929 Batch 174.83 OmegaBatch-2 19 0.30 0.50 47.13 0.0000 0.0000 47.13 0.2602 1000 0 0 0
42930 Batch 179.85 OmegaBatch-3 45 0.30 0.50 49.85 0.0000 0.0000 49.85 0.2617 1000 0 0 0
42931 Batch 180.12 OmegaBatch-4 55 0.30 0.50 19.07 17.1594 17.1594 19.07 0.2617 1000 0 0 0
42932 Batch 186.34 OmegaBatch-1 40 0.30 0.50 0.51 6.3569 6.3569 0.51 0.2617 1000 0 0 0
42933 Batch 211.48 OmegaBatch-2 98 0.30 0.50 17.87 0.0000 0.0000 17.87 0.2757 1000 0 0 0
42934 Batch 247.79 OmegaBatch-3 7 0.30 0.50 38.33 0.0000 0.0000 38.33 0.2741 1000 0 0 0
42935 Batch 431.91 OmegaBatch-4 38 0.30 0.50 3.35 0.0000 0.0000 3.35 0.2732 1000 0 0 0
42936 Batch 454.90 OmegaBatch-1 175 0.30 0.50 109.93 0.0000 0.0000 109.93 0.2732 1000 0 0 0
42937 Batch 511.07 OmegaBatch-2 101 0.30 0.50 62.51 0.0000 0.0000 62.51 0.2863 1000 0 0 0
42938 Batch 602.38 OmegaBatch-3 413 0.30 0.50 25.37 0.0000 0.0000 25.37 0.2581 1000 0 0 0
42939 Batch 603.53 OmegaBatch-4 696 0.30 0.50 114.98 0.0000 0.0000 256.18 0.2581 1000 0 0 0
42940 Batch 604.41 OmegaBatch-1 41 0.30 0.50 23.71 0.0000 0.0000 23.71 0.2581 1000 0 0 0
42941 Batch 675.28 OmegaBatch-2 123 0.30 0.50 128.35 0.0000 0.0000 154.95 0.2581 1000 0 0 0
42942 Batch 925.79 OmegaBatch-3 399 0.30 0.50 493.67 0.0000 0.0000 493.67 0.3103 1000 0 0 0
42943 Batch 926.71 OmegaBatch-4 10 0.30 0.50 80.80 0.0000 0.0000 80.80 0.3103 1000 0 0 0
42944 Batch 1067.01 OmegaBatch-1 30 0.30 0.50 40.60 0.0000 0.0000 40.60 0.2947 1000 0 0 0
42945 Batch 1071.23 OmegaBatch-2 16 0.30 0.50 52.66 0.0000 0.0000 52.66 0.2947 1000 0 0 0
42946 Batch 1100.06 OmegaBatch-3 78 0.30 0.50 154.91 0.0000 0.0000 154.91 0.2981 1000 0 0 0
42947 Batch 1109.34 OmegaBatch-4 319 0.30 0.50 174.70 0.0000 0.0000 240.50 0.2981 1000 0 0 0
42948 Batch 1887.81 OmegaBatch-1 296 0.30 0.50 2.08 0.0000 0.0000 2.08 0.2668 1000 0 0 0
42949 Batch 2462.24 OmegaBatch-2 229 0.30 0.50 89.43 0.0000 0.0000 89.43 0.2668 1000 0 0 0
42950 Batch 2641.76 OmegaBatch-3 54 0.30 0.50 193.97 0.0000 0.0000 193.97 0.2668 1000 0 0 0
42951 Batch 3005.07 OmegaBatch-4 47 0.30 0.50 86.63 0.0000 0.0000 86.63 0.2647 1000 0 0 0
42952 Batch 3005.07 OmegaBatch-1 16 0.30 0.50 29.06 0.0000 0.0000 29.06 0.2647 1000 0 0 0
42953 Batch 3010.30 OmegaBatch-2 8 0.30 0.50 56.54 0.0000 0.0000 56.54 0.2659 1000 0 0 0
42954 Batch 3039.94 OmegaBatch-3 20 0.30 0.50 46.64 0.0000 0.0000 46.64 0.2689 1000 0 0 0
42955 Batch 3986.00 OmegaBatch-4 67 0.30 0.50 192.64 0.0000 0.0000 192.64 0.2647 1000 0 0 0
42956 Batch 4047.89 OmegaBatch-1 112 0.30 0.50 19.01 0.0000 0.0000 19.01 0.2698 1000 0 0 0
42957 Batch 4312.24 OmegaBatch-2 164 0.30 0.50 230.71 0.0000 0.0000 230.71 0.2701 1000 0 0 0
42958 Batch 4470.15 OmegaBatch-3 326 0.30 0.50 20.59 0.0000 0.0000 154.99 0.2824 1000 0 0 0
42959 Batch 4488.20 OmegaBatch-4 46 0.30 0.50 107.99 0.0000 0.0000 107.99 0.2824 1000 0 0 0
42960 Batch 4542.72 OmegaBatch-1 4 0.30 0.50 160.83 0.0000 0.0000 160.83 0.2858 1000 0 0 0
42961 Batch 4548.44 OmegaBatch-2 117 0.30 0.50 58.00 0.0000 0.0000 58.00 0.2861 1000 0 0 0
42962 Batch 4658.21 OmegaBatch-3 29 0.30 0.50 166.94 12.5339 12.5339 166.94 0.2704 1000 0 0 0
42963 Batch 4791.45 OmegaBatch-4 33 0.30 0.50 64.05 0.0000 0.0000 64.05 0.2722 1000 0 0 0
42964 Batch 4800.83 OmegaBatch-1 24 0.30 0.50 38.30 0.0000 0.0000 38.30 0.2747 1000 0 0 0
42965 Batch 4885.61 OmegaBatch-2 147 0.30 0.50 67.49 0.0000 0.0000 67.49 0.2701 1000 0 0 0
42966 Batch 4949.33 OmegaBatch-3 154 0.30 0.50 39.34 0.0000 0.0000 104.94 0.2811 1000 0 0 0
42967 Batch 4955.64 OmegaBatch-4 31 0.30 0.50 363.32 0.0000 0.0000 363.32 0.2811 1000 0 0 0
42968 Batch 4956.19 OmegaBatch-1 245 0.30 0.50 168.04 0.0000 0.0000 270.04 0.2811 1000 0 0 0
42969 Batch 4956.22 OmegaBatch-2 95 0.30 0.50 47.94 0.0000 0.0000 68.94 0.2811 1000 0 0 0
42970 Batch 6634.61 OmegaBatch-3 33 0.30 0.50 4.11 0.0000 0.0000 4.11 0.2689 1000 0 0 0
42971 Batch 6634.78 OmegaBatch-4 39 0.30 0.50 17.97 0.0000 0.0000 17.97 0.2689 1000 0 0 0
42972 Batch 6740.38 OmegaBatch-1 427 0.30 0.50 111.56 0.0000 0.0000 111.56 0.2689 1000 0 0 0
42973 Batch 8308.11 OmegaBatch-2 155 0.30 0.50 97.42 0.0000 0.0000 97.42 0.2646 1000 0 0 0
42974 Batch 8662.72 OmegaBatch-3 24 0.30 0.50 185.59 0.0000 0.0000 185.59 0.2646 1000 0 0 0
42975 Batch 8675.17 OmegaBatch-4 44 0.30 0.50 154.19 0.0000 0.0000 154.19 0.2664 1000 0 0 0
42976 Batch 8775.75 OmegaBatch-1 173 0.30 0.50 177.71 0.0000 0.0000 177.71 0.2697 1000 0 0 0
42977 Batch 9215.87 OmegaBatch-2 51 0.30 0.50 261.06 0.0000 0.0000 261.06 0.2646 1000 0 0 0
42978 Batch 9222.67 OmegaBatch-3 78 0.30 0.50 67.94 0.0000 0.0000 85.54 0.2646 1000 0 0 0
42979 Batch 9223.39 OmegaBatch-4 11 0.30 0.50 87.46 0.0000 0.0000 87.46 0.2646 1000 0 0 0
42980 Batch 9945.47 OmegaBatch-1 121 0.30 0.50 85.47 0.0000 0.0000 85.47 0.2646 1000 0 0 0
42981 Batch 10256.20 OmegaBatch-2 253 0.30 0.50 94.87 0.0000 0.0000 147.47 0.2646 1000 0 0 0
42982 Batch 10296.74 OmegaBatch-3 28 0.30 0.50 84.21 0.0000 0.0000 84.21 0.2646 1000 0 0 0
42983 Batch 10701.14 OmegaBatch-4 73 0.30 0.50 43.28 0.0000 0.0000 43.28 0.2713 1000 0 0 0
42984 Batch 11105.80 OmegaBatch-1 207 0.30 0.50 202.90 0.0000 0.0000 202.90 0.2727 1000 0 0 0
42985 Batch 11142.07 OmegaBatch-2 298 0.30 0.50 50.16 0.0000 0.0000 111.76 0.2727 1000 0 0 0
42986 Batch 11205.08 OmegaBatch-3 39 0.30 0.50 3.63 0.0000 0.0000 3.63 0.2882 1000 0 0 0
42987 Batch 11206.23 OmegaBatch-4 503 0.30 0.50 29.93 0.0000 0.0000 132.53 0.2882 1000 0 0 0
42988 Batch 11948.77 OmegaBatch-1 8 0.30 0.50 164.71 0.0000 0.0000 164.71 0.2713 1000 0 0 0
42989 Batch 11989.51 OmegaBatch-2 115 0.30 0.50 29.54 0.0000 0.0000 29.54 0.2719 1000 0 0 0
42990 Batch 12175.03 OmegaBatch-3 176 0.30 0.50 50.28 0.0000 0.0000 50.28 0.2713 1000 0 0 0
42991 Batch 12191.09 OmegaBatch-4 163 0.30 0.50 31.43 0.0000 0.0000 66.03 0.2713 1000 0 0 0
42992 Batch 12235.47 OmegaBatch-1 11 0.30 0.50 9.69 0.0000 0.0000 9.69 0.2845 1000 0 0 0
42993 Batch 12279.39 OmegaBatch-2 113 0.30 0.50 206.99 0.0000 0.0000 206.99 0.2835 1000 0 0 0
42994 Batch 12403.11 OmegaBatch-3 88 0.30 0.50 189.66 0.0000 0.0000 228.86 0.2797 1000 0 0 0
42995 Batch 12404.88 OmegaBatch-4 73 0.30 0.50 11.08 0.0000 0.0000 27.68 0.2797 1000 0 0 0
42996 Batch 12411.97 OmegaBatch-1 37 0.30 0.50 106.65 0.0000 0.0000 106.65 0.2797 1000 0 0 0
42997 Batch 12506.74 OmegaBatch-2 120 0.30 0.50 141.78 0.0000 0.0000 141.78 0.2891 1000 0 0 0
42998 Batch 12816.95 OmegaBatch-3 51 0.30 0.50 74.99 0.0000 0.0000 74.99 0.2713 1000 0 0 0
42999 Batch 13208.50 OmegaBatch-4 256 0.30 0.50 8.28 0.0000 0.0000 8.28 0.2713 1000 0 0 0
43000 Batch 13899.05 OmegaBatch-1 5 0.30 0.50 93.37 0.0000 0.0000 93.37 0.2581 1000 0 0 0
43001 Batch 14038.86 OmegaBatch-2 122 0.30 0.50 78.35 0.0000 0.0000 78.35 0.2581 1000 0 0 0
43002 Batch 14046.66 OmegaBatch-3 146 0.30 0.50 54.67 0.0000 0.0000 117.07 0.2581 1000 0 0 0
43003 Batch 14053.90 OmegaBatch-4 46 0.30 0.50 159.38 0.0000 0.0000 159.38 0.2581 1000 0 0 0
43004 Batch 14053.95 OmegaBatch-1 63 0.30 0.50 49.98 0.0000 0.0000 64.58 0.2581 1000 0 0 0
43005 Batch 14138.83 OmegaBatch-2 27 0.30 0.50 52.04 0.0000 0.0000 52.04 0.2707 1000 0 0 0
43006 Batch 14178.50 OmegaBatch-3 111 0.30 0.50 46.23 0.0000 0.0000 46.23 0.2746 1000 0 0 0
43007 Batch 14178.71 OmegaBatch-4 334 0.30 0.50 473.45 0.0000 0.0000 542.25 0.2746 1000 0 0 0
43008 Batch 14276.51 OmegaBatch-1 4 0.30 0.50 134.75 0.0000 0.0000 134.75 0.2581 1000 0 0 0
43009 Batch 14305.90 OmegaBatch-2 271 0.30 0.50 9.15 0.0000 0.0000 65.35 0.2584 1000 0 0 0
43010 Batch 14314.72 OmegaBatch-3 137 0.30 0.50 21.68 0.0000 0.0000 51.08 0.2584 1000 0 0 0
